date,attraction,city,tourists,type
2011_01,陽明山遊客中心,臺北市,11937,Indoor
2011_01,陽明公園,臺北市,96000,Outdoor
2011_01,擎天崗,臺北市,0,Outdoor
2011_01,國立故宮博物院,臺北市,258191,Indoor
2011_01,淡水漁人碼頭,新北市,122201,Outdoor
2011_01,新北市立黃金博物館,新北市,51945,Outdoor
2011_01,國立自然科學博物館,臺中市,265469,Indoor
2011_01,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2011_01,臺中國家歌劇院,臺中市,0,Indoor
2011_01,日月潭環潭區,南投縣,254449,Outdoor
2011_01,清境農場,南投縣,74804,Outdoor
2011_01,溪頭自然教育園區,南投縣,52415,Outdoor
2011_01,蓮池潭,高雄市,29000,Outdoor
2011_01,國立科學工藝博物館,高雄市,89984,Indoor
2011_01,高雄市立美術館,高雄市,17002,Indoor
2011_01,旗津風景區,高雄市,0,Outdoor
2011_01,墾丁國家森林遊樂區,屏東縣,13821,Outdoor
2011_01,國立海洋生物博物館,屏東縣,55786,Indoor
2011_01,墾丁海水浴場,屏東縣,1923,Outdoor
2011_01,駁二藝術特區,高雄市,148853,Outdoor
2011_02,陽明山遊客中心,臺北市,17581,Indoor
2011_02,陽明公園,臺北市,414000,Outdoor
2011_02,擎天崗,臺北市,0,Outdoor
2011_02,國立故宮博物院,臺北市,291182,Indoor
2011_02,淡水漁人碼頭,新北市,172716,Outdoor
2011_02,新北市立黃金博物館,新北市,101321,Outdoor
2011_02,國立自然科學博物館,臺中市,359904,Indoor
2011_02,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2011_02,臺中國家歌劇院,臺中市,0,Indoor
2011_02,日月潭環潭區,南投縣,791068,Outdoor
2011_02,清境農場,南投縣,117365,Outdoor
2011_02,溪頭自然教育園區,南投縣,101406,Outdoor
2011_02,蓮池潭,高雄市,135000,Outdoor
2011_02,國立科學工藝博物館,高雄市,96207,Indoor
2011_02,高雄市立美術館,高雄市,39350,Indoor
2011_02,旗津風景區,高雄市,0,Outdoor
2011_02,墾丁國家森林遊樂區,屏東縣,24249,Outdoor
2011_02,國立海洋生物博物館,屏東縣,126940,Indoor
2011_02,墾丁海水浴場,屏東縣,17363,Outdoor
2011_02,駁二藝術特區,高雄市,335504,Outdoor
2011_03,陽明山遊客中心,臺北市,13094,Indoor
2011_03,陽明公園,臺北市,611300,Outdoor
2011_03,擎天崗,臺北市,0,Outdoor
2011_03,國立故宮博物院,臺北市,303435,Indoor
2011_03,淡水漁人碼頭,新北市,126725,Outdoor
2011_03,新北市立黃金博物館,新北市,60288,Outdoor
2011_03,國立自然科學博物館,臺中市,262289,Indoor
2011_03,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2011_03,臺中國家歌劇院,臺中市,0,Indoor
2011_03,日月潭環潭區,南投縣,476228,Outdoor
2011_03,清境農場,南投縣,54117,Outdoor
2011_03,溪頭自然教育園區,南投縣,70228,Outdoor
2011_03,蓮池潭,高雄市,30000,Outdoor
