date,attraction,city,tourists,rainfall,temperature,rainy_days,sunshine,type,region,ln_tourists,rain_lag1,rain_lag2,heavy_rain
2016-03,國立故宮博物院,臺北,462046,285.7,17.5,19.0,90.3,Indoor,north,13.0434218964913,78.9,256.0,1
2016-04,國立故宮博物院,臺北,438172,184.4,24.0,14.0,81.9,Indoor,north,12.990369088544584,285.7,78.9,0
2016-05,國立故宮博物院,臺北,423639,186.7,27.1,15.0,104.0,Indoor,north,12.956639316957606,184.4,285.7,0
2016-06,國立故宮博物院,臺北,356769,429.8,29.4,21.0,125.6,Indoor,north,12.784846595435521,186.7,184.4,1
2016-07,國立故宮博物院,臺北,411514,174.6,30.3,13.0,192.7,Indoor,north,12.927600750439764,429.8,186.7,0
2016-08,國立故宮博物院,臺北,402433,141.4,30.1,14.0,187.5,Indoor,north,12.90528638724008,174.6,429.8,0
2016-09,國立故宮博物院,臺北,243479,428.5,27.8,22.0,90.8,Indoor,north,12.402790082607861,141.4,174.6,1
2016-10,國立故宮博物院,臺北,341266,137.6,27.0,16.0,132.1,Indoor,north,12.740420441090306,428.5,141.4,0
2016-11,國立故宮博物院,臺北,329451,111.6,22.6,11.0,86.4,Indoor,north,12.705185947047474,137.6,428.5,0
2016-12,國立故宮博物院,臺北,343419,16.5,20.1,6.0,84.8,Indoor,north,12.746709466867793,111.6,137.6,0
2017-01,國立故宮博物院,臺北,334485,21.8,18.3,11.0,79.2,Indoor,north,12.720350304161832,16.5,111.6,0
2017-02,國立故宮博物院,臺北,318772,123.7,17.0,8.0,70.0,Indoor,north,12.672234529714338,21.8,16.5,0
2017-03,國立故宮博物院,臺北,310789,182.7,18.2,18.0,60.8,Indoor,north,12.646872721925828,123.7,21.8,0
2017-04,國立故宮博物院,臺北,351929,121.5,22.5,13.0,105.6,Indoor,north,12.771187571167875,182.7,123.7,0
2017-05,國立故宮博物院,臺北,369998,135.5,25.6,16.0,83.8,Indoor,north,12.821255581914052,121.5,182.7,0
2017-06,國立故宮博物院,臺北,320848,649.7,28.0,16.0,83.8,Indoor,north,12.678725886452595,135.5,121.5,1
